Transaction_ID,Date,Year,Month,Quarter,Category,Subcategory,Region,Country,Customer_Segment,Quantity,Unit_Price,Discount_Amount,Final_Unit_Price,Total_Amount,Shipping_Cost,Payment_Method,Order_Status,Customer_Satisfaction,Marketing_Channel
TXN_10011,2022-03-07,2022,3,Q1,Electronics,Tablets,Latin America,Argentina,New Customer,1,179.07,16.35,162.72,162.72,16.34,Bank Transfer,Delivered,4.0,Email Campaign
TXN_10012,2023-03-12,2023,3,Q1,Fashion,Accessories,Latin America,Chile,New Customer,1,240.25,6.36,233.89,233.89,9.93,COD,Delivered,5.0,Organic Search
TXN_10013,2023-06-23,2023,6,Q2,Sports,Sportswear,Latin America,Chile,VIP Customer,1,401.44,53.35,348.09,348.09,24.95,COD,Delivered,5.0,Social Media
TXN_10014,2024-10-07,2024,10,Q4,Home & Living,Furniture,North America,USA,VIP Customer,1,254.68,31.58,223.1,223.1,18.61,COD,Delivered,3.0,Email Campaign
TXN_10015,2022-05-11,2022,5,Q2,Home & Living,Bedding,Latin America,Chile,New Customer,1,1494.3,79.07,1415.23,1415.23,0.0,COD,Delivered,4.0,Social Media
TXN_10016,2022-01-24,2022,1,Q1,Home & Living,Furniture,Asia Pacific,Australia,VIP Customer,1,193.98,32.05,161.93,161.93,14.07,Bank Transfer,Delivered,5.0,Email Campaign
TXN_10017,2024-10-22,2024,10,Q4,Fashion,Women Clothing,North America,Mexico,VIP Customer,1,163.25,31.97,131.28,131.28,17.18,PayPal,Delivered,4.0,Organic Search
TXN_10018,2024-02-05,2024,2,Q1,Electronics,Laptops,North America,Mexico,New Customer,1,682.1,1.33,680.77,680.77,0.0,Bank Transfer,Delivered,5.0,Direct
TXN_10019,2023-09-22,2023,9,Q3,Electronics,Laptops,North America,USA,Returning Customer,1,1762.12,166.86,1595.26,1595.26,0.0,Credit Card,Delivered,3.0,Organic Search
TXN_10020,2024-09-22,2024,9,Q3,Electronics,Smartphones,Europe,Germany,Corporate,2,1336.51,390.3,946.21,1892.42,0.0,PayPal,Delivered,5.0,Email Campaign
TXN_10021,2023-06-27,2023,6,Q2,Electronics,Audio,Latin America,Brazil,VIP Customer,1,2233.66,476.42,1757.24,1757.24,0.0,PayPal,Delivered,5.0,Paid Ads
TXN_10022,2023-10-01,2023,10,Q4,Electronics,Accessories,Asia Pacific,Singapore,New Customer,1,1804.25,81.46,1722.79,1722.79,0.0,PayPal,Delivered,5.0,Organic Search
TXN_10023,2023-04-06,2023,4,Q2,Fashion,Men Clothing,Asia Pacific,India,Returning Customer,1,302.39,6.96,295.43,295.43,9.4,Credit Card,Delivered,4.0,Direct
TXN_10024,2022-05-01,2022,5,Q2,Electronics,Laptops,North America,USA,Returning Customer,1,1726.29,12.23,1714.06,1714.06,0.0,PayPal,Delivered,5.0,Direct
TXN_10025,2023-07-25,2023,7,Q3,Electronics,Accessories,Europe,Germany,Returning Customer,1,1752.65,154.65,1598.0,1598.0,0.0,COD,Delivered,2.0,Social Media
TXN_10026,2024-08-26,2024,8,Q3,Fashion,Women Clothing,Latin America,Argentina,New Customer,1,111.4,1.08,110.32,110.32,13.62,Digital Wallet,Shipped,,Organic Search
TXN_10027,2024-04-21,2024,4,Q2,Electronics,Accessories,North America,Mexico,Returning Customer,5,1324.24,151.78,1172.46,5862.3,0.0,Credit Card,Delivered,5.0,Email Campaign
TXN_10028,2024-04-04,2024,4,Q2,Electronics,Tablets,North America,USA,Returning Customer,1,423.6,22.72,400.88,400.88,7.8,PayPal,Delivered,5.0,Paid Ads
TXN_10029,2023-07-25,2023,7,Q3,Electronics,Accessories,Europe,UK,VIP Customer,1,1096.93,251.42,845.51,845.51,0.0,COD,Delivered,2.0,Social Media
TXN_10030,2022-07-20,2022,7,Q3,Home & Living,Furniture,North America,USA,New Customer,1,1670.11,141.74,1528.37,1528.37,0.0,PayPal,Delivered,5.0,Organic Search
TXN_10031,2024-04-12,2024,4,Q2,Home & Living,Bedding,Latin America,Brazil,New Customer,2,1301.04,117.41,1183.63,2367.26,0.0,PayPal,Delivered,4.0,Organic Search
TXN_10032,2024-02-16,2024,2,Q1,Sports,Fitness Equipment,Latin America,Argentina,VIP Customer,1,743.05,161.81,581.24,581.24,0.0,Bank Transfer,Delivered,5.0,Social Media
TXN_10033,2024-05-16,2024,5,Q2,Fashion,Accessories,Europe,Germany,New Customer,1,162.42,15.73,146.69,146.69,16.58,COD,Delivered,5.0,Social Media
TXN_10034,2022-05-05,2022,5,Q2,Electronics,Tablets,North America,USA,New Customer,1,1189.15,59.8,1129.35,1129.35,0.0,COD,Delivered,5.0,Email Campaign
TXN_10035,2022-11-19,2022,11,Q4,Home & Living,Furniture,North America,USA,New Customer,1,196.09,1.33,194.76,194.76,22.24,Digital Wallet,Delivered,5.0,Organic Search
TXN_10036,2022-09-03,2022,9,Q3,Electronics,Audio,Europe,UK,Returning Customer,1,1257.79,52.73,1205.06,1205.06,0.0,COD,Delivered,5.0,Social Media
TXN_10037,2024-12-06,2024,12,Q4,Home & Living,Kitchen,Asia Pacific,Japan,New Customer,1,1521.75,47.81,1473.94,1473.94,0.0,Bank Transfer,Delivered,4.0,Social Media
TXN_10038,2024-03-21,2024,3,Q1,Home & Living,Decor,Asia Pacific,Singapore,VIP Customer,1,494.78,105.28,389.5,389.5,6.45,Digital Wallet,Delivered,3.0,Paid Ads
TXN_10039,2022-07-24,2022,7,Q3,Electronics,Smartphones,Europe,France,New Customer,3,369.95,31.41,338.54,1015.62,0.0,Credit Card,Delivered,5.0,Social Media
TXN_10040,2023-05-16,2023,5,Q2,Home & Living,Kitchen,Asia Pacific,Japan,Returning Customer,1,674.13,36.62,637.51,637.51,0.0,Bank Transfer,Delivered,3.0,Social Media
TXN_10041,2024-12-19,2024,12,Q4,Electronics,Smartphones,Asia Pacific,India,New Customer,1,2821.37,37.89,2783.48,2783.48,0.0,Credit Card,Delivered,5.0,Direct
TXN_10042,2022-08-08,2022,8,Q3,Sports,Sportswear,Europe,France,New Customer,1,243.36,5.13,238.23,238.23,11.86,Bank Transfer,Shipped,,Paid Ads
TXN_10043,2024-11-01,2024,11,Q4,Sports,Outdoor Gear,Asia Pacific,India,Corporate,2,144.8,30.92,113.88,227.76,10.53,Credit Card,Delivered,4.0,Email Campaign
TXN_10044,2023-11-15,2023,11,Q4,Electronics,Laptops,Asia Pacific,Japan,New Customer,1,2243.1,123.75,2119.35,2119.35,0.0,Digital Wallet,Shipped,,Social Media
TXN_10045,2022-01-20,2022,1,Q1,Fashion,Men Clothing,North America,Mexico,New Customer,1,453.89,24.76,429.13,429.13,21.69,COD,Returned,,Organic Search
TXN_10046,2022-10-31,2022,10,Q4,Fashion,Accessories,Europe,UK,VIP Customer,1,167.96,39.44,128.52,128.52,20.92,Credit Card,Delivered,5.0,Paid Ads
TXN_10047,2024-01-03,2024,1,Q1,Electronics,Laptops,Europe,UK,VIP Customer,2,739.67,136.09,603.58,1207.16,0.0,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10048,2022-11-13,2022,11,Q4,Fashion,Women Clothing,Europe,Germany,VIP Customer,1,664.62,68.93,595.69,595.69,0.0,Bank Transfer,Delivered,5.0,Email Campaign
TXN_10049,2024-04-23,2024,4,Q2,Electronics,Laptops,Asia Pacific,Japan,New Customer,1,1585.38,17.14,1568.24,1568.24,0.0,Credit Card,Delivered,2.0,Paid Ads
TXN_10050,2024-08-21,2024,8,Q3,Fashion,Women Clothing,Europe,Netherlands,New Customer,1,187.84,15.41,172.43,172.43,22.43,PayPal,Delivered,2.0,Email Campaign
TXN_10051,2022-02-18,2022,2,Q1,Fashion,Women Clothing,Latin America,Argentina,New Customer,1,153.73,1.07,152.66,152.66,20.47,Bank Transfer,Delivered,4.0,Social Media
TXN_10052,2024-11-09,2024,11,Q4,Electronics,Accessories,Asia Pacific,India,New Customer,1,412.37,40.02,372.35,372.35,8.57,Bank Transfer,Delivered,5.0,Social Media
TXN_10053,2022-03-20,2022,3,Q1,Sports,Fitness Equipment,Latin America,Argentina,Returning Customer,1,589.62,18.5,571.12,571.12,0.0,COD,Delivered,4.0,Paid Ads
TXN_10054,2024-11-13,2024,11,Q4,Electronics,Smartphones,Latin America,Chile,New Customer,3,630.98,34.35,596.63,1789.89,0.0,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10055,2022-01-04,2022,1,Q1,Electronics,Audio,Europe,France,New Customer,1,891.03,84.55,806.48,806.48,0.0,Bank Transfer,Delivered,5.0,Social Media
TXN_10056,2023-10-05,2023,10,Q4,Electronics,Smartphones,Asia Pacific,Australia,Corporate,1,1350.44,268.64,1081.8,1081.8,0.0,Bank Transfer,Delivered,5.0,Paid Ads
TXN_10057,2022-09-18,2022,9,Q3,Electronics,Laptops,Latin America,Chile,New Customer,1,1883.71,127.59,1756.12,1756.12,0.0,PayPal,Delivered,3.0,Organic Search
TXN_10058,2023-09-09,2023,9,Q3,Electronics,Accessories,North America,Canada,VIP Customer,1,609.48,100.25,509.23,509.23,0.0,COD,Delivered,3.0,Paid Ads
TXN_10059,2023-10-22,2023,10,Q4,Fashion,Accessories,Latin America,Argentina,New Customer,1,344.3,17.6,326.7,326.7,20.87,PayPal,Delivered,5.0,Social Media
TXN_10060,2022-06-23,2022,6,Q2,Electronics,Tablets,Asia Pacific,India,New Customer,1,1975.11,148.36,1826.75,1826.75,0.0,Bank Transfer,Delivered,5.0,Social Media
TXN_10061,2023-04-06,2023,4,Q2,Electronics,Laptops,Europe,UK,New Customer,1,140.12,13.79,126.33,126.33,17.23,Credit Card,Delivered,5.0,Direct
TXN_10062,2024-07-21,2024,7,Q3,Fashion,Accessories,Europe,Netherlands,New Customer,1,308.76,7.53,301.23,301.23,18.12,Credit Card,Delivered,5.0,Direct
TXN_10063,2022-08-07,2022,8,Q3,Fashion,Accessories,Europe,Germany,Corporate,2,405.97,103.27,302.7,605.4,0.0,Digital Wallet,Delivered,2.0,Organic Search
TXN_10064,2022-04-13,2022,4,Q2,Electronics,Audio,Europe,UK,New Customer,1,940.1,75.34,864.76,864.76,0.0,COD,Delivered,4.0,Email Campaign
TXN_10065,2023-10-12,2023,10,Q4,Electronics,Accessories,Latin America,Chile,VIP Customer,1,919.53,113.91,805.62,805.62,0.0,Digital Wallet,Delivered,5.0,Social Media
TXN_10066,2024-07-10,2024,7,Q3,Sports,Outdoor Gear,Europe,France,Returning Customer,2,742.21,38.69,703.52,1407.04,0.0,PayPal,Delivered,3.0,Email Campaign
TXN_10067,2023-07-17,2023,7,Q3,Home & Living,Bedding,North America,Mexico,Corporate,1,540.02,103.01,437.01,437.01,11.39,COD,Delivered,5.0,Paid Ads
TXN_10068,2022-06-15,2022,6,Q2,Sports,Fitness Equipment,Europe,Germany,VIP Customer,1,386.22,47.47,338.75,338.75,9.28,Digital Wallet,Delivered,5.0,Organic Search
TXN_10069,2024-04-14,2024,4,Q2,Sports,Outdoor Gear,Latin America,Argentina,Returning Customer,2,73.26,6.1,67.16,134.32,12.79,COD,Delivered,5.0,Paid Ads
TXN_10070,2022-02-10,2022,2,Q1,Electronics,Audio,Latin America,Argentina,Corporate,1,61.5,12.47,49.03,49.03,20.07,Digital Wallet,Delivered,5.0,Direct
TXN_10071,2023-03-28,2023,3,Q1,Fashion,Accessories,Europe,France,Returning Customer,1,229.2,0.67,228.53,228.53,11.72,Digital Wallet,Delivered,4.0,Social Media
TXN_10072,2022-12-05,2022,12,Q4,Home & Living,Bedding,Europe,UK,VIP Customer,1,2044.78,386.02,1658.76,1658.76,0.0,Credit Card,Delivered,4.0,Organic Search
TXN_10073,2022-06-21,2022,6,Q2,Fashion,Accessories,Europe,Netherlands,Returning Customer,2,128.68,3.35,125.33,250.66,11.55,Digital Wallet,Delivered,3.0,Organic Search
TXN_10074,2023-11-01,2023,11,Q4,Home & Living,Kitchen,Latin America,Argentina,Returning Customer,1,1703.18,141.69,1561.49,1561.49,0.0,Bank Transfer,Delivered,5.0,Organic Search
TXN_10075,2022-06-17,2022,6,Q2,Home & Living,Bedding,North America,Mexico,Returning Customer,1,987.54,98.74,888.8,888.8,0.0,Bank Transfer,Delivered,5.0,Paid Ads
TXN_10076,2023-04-05,2023,4,Q2,Fashion,Men Clothing,North America,USA,VIP Customer,2,475.81,61.81,414.0,828.0,0.0,Credit Card,Cancelled,,Email Campaign
TXN_10077,2022-11-09,2022,11,Q4,Fashion,Women Clothing,Europe,Netherlands,New Customer,1,512.01,28.88,483.13,483.13,9.36,Bank Transfer,Delivered,4.0,Direct
TXN_10078,2024-01-26,2024,1,Q1,Electronics,Laptops,North America,USA,Returning Customer,1,1931.21,20.88,1910.33,1910.33,0.0,Credit Card,Delivered,2.0,Organic Search
TXN_10079,2023-10-01,2023,10,Q4,Electronics,Audio,Latin America,Argentina,Returning Customer,1,1885.87,37.4,1848.47,1848.47,0.0,COD,Delivered,5.0,Paid Ads
TXN_10080,2023-05-13,2023,5,Q2,Electronics,Smartphones,Asia Pacific,India,VIP Customer,1,1602.64,296.31,1306.33,1306.33,0.0,Credit Card,Processing,,Organic Search
TXN_10081,2023-12-13,2023,12,Q4,Sports,Sportswear,Latin America,Chile,New Customer,2,468.29,23.69,444.6,889.2,0.0,Bank Transfer,Delivered,5.0,Organic Search
TXN_10082,2022-01-26,2022,1,Q1,Fashion,Accessories,Latin America,Brazil,Corporate,1,228.09,46.61,181.48,181.48,22.83,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10083,2022-11-10,2022,11,Q4,Home & Living,Bedding,Europe,France,Returning Customer,2,1403.09,129.03,1274.06,2548.12,0.0,Digital Wallet,Delivered,4.0,Direct
TXN_10084,2024-08-10,2024,8,Q3,Sports,Outdoor Gear,Asia Pacific,Australia,Returning Customer,1,685.08,56.91,628.17,628.17,0.0,Credit Card,Delivered,3.0,Paid Ads
TXN_10085,2023-07-26,2023,7,Q3,Fashion,Accessories,Europe,Netherlands,Returning Customer,1,352.23,23.54,328.69,328.69,11.73,Digital Wallet,Cancelled,,Referral
TXN_10086,2023-10-28,2023,10,Q4,Home & Living,Decor,Latin America,Brazil,Returning Customer,1,551.59,14.25,537.34,537.34,0.0,Bank Transfer,Delivered,5.0,Organic Search
TXN_10087,2023-07-20,2023,7,Q3,Sports,Sportswear,North America,Mexico,VIP Customer,2,911.7,102.88,808.82,1617.64,0.0,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10088,2024-09-27,2024,9,Q3,Sports,Sportswear,Europe,Netherlands,VIP Customer,1,525.57,91.25,434.32,434.32,20.86,Credit Card,Delivered,4.0,Email Campaign
TXN_10089,2023-08-26,2023,8,Q3,Sports,Fitness Equipment,Latin America,Chile,New Customer,1,213.56,14.18,199.38,199.38,12.38,COD,Delivered,5.0,Email Campaign
TXN_10090,2024-12-23,2024,12,Q4,Home & Living,Kitchen,Latin America,Chile,Returning Customer,1,1258.61,44.28,1214.33,1214.33,0.0,Digital Wallet,Delivered,2.0,Email Campaign
TXN_10091,2023-07-09,2023,7,Q3,Home & Living,Kitchen,Asia Pacific,Japan,Corporate,5,248.84,44.51,204.33,1021.65,0.0,Credit Card,Delivered,5.0,Direct
TXN_10092,2023-01-15,2023,1,Q1,Home & Living,Decor,Europe,Netherlands,New Customer,1,436.45,25.73,410.72,410.72,20.2,COD,Delivered,5.0,Social Media
TXN_10093,2023-08-03,2023,8,Q3,Electronics,Smartphones,Europe,France,Returning Customer,1,493.59,8.86,484.73,484.73,5.28,COD,Delivered,3.0,Social Media
TXN_10094,2022-09-17,2022,9,Q3,Fashion,Footwear,North America,USA,VIP Customer,1,285.61,58.44,227.17,227.17,7.53,Digital Wallet,Delivered,5.0,Social Media
TXN_10095,2022-07-30,2022,7,Q3,Sports,Fitness Equipment,Asia Pacific,Singapore,Returning Customer,1,475.2,16.19,459.01,459.01,24.31,Bank Transfer,Delivered,5.0,Social Media
TXN_10096,2024-09-05,2024,9,Q3,Home & Living,Furniture,North America,Canada,New Customer,1,752.87,43.44,709.43,709.43,0.0,Credit Card,Delivered,4.0,Social Media
TXN_10097,2022-11-07,2022,11,Q4,Fashion,Women Clothing,Asia Pacific,India,Returning Customer,2,745.62,8.83,736.79,1473.58,0.0,Digital Wallet,Delivered,5.0,Email Campaign
TXN_10098,2023-04-08,2023,4,Q2,Fashion,Accessories,Latin America,Argentina,Returning Customer,2,162.73,9.58,153.15,306.3,13.58,COD,Processing,,Organic Search
TXN_10099,2022-05-04,2022,5,Q2,Sports,Sportswear,North America,USA,Returning Customer,1,509.77,13.49,496.28,496.28,6.62,PayPal,Delivered,5.0,Paid Ads
TXN_10100,2022-12-22,2022,12,Q4,Electronics,Audio,North America,USA,Returning Customer,1,82.83,3.73,79.1,79.1,16.88,Bank Transfer,Delivered,3.0,Organic Search
TXN_10101,2022-03-08,2022,3,Q1,Electronics,Laptops,Asia Pacific,Australia,New Customer,1,1420.83,64.51,1356.32,1356.32,0.0,PayPal,Delivered,4.0,Email Campaign
TXN_10102,2023-06-26,2023,6,Q2,Fashion,Women Clothing,Latin America,Brazil,Returning Customer,1,337.67,21.87,315.8,315.8,23.17,PayPal,Delivered,2.0,Organic Search
TXN_10103,2022-05-27,2022,5,Q2,Electronics,Smartphones,Europe,France,New Customer,1,1210.34,99.76,1110.58,1110.58,0.0,Bank Transfer,Delivered,4.0,Organic Search
TXN_10104,2024-06-18,2024,6,Q2,Fashion,Men Clothing,Latin America,Chile,Returning Customer,1,199.16,8.02,191.14,191.14,10.44,COD,Delivered,5.0,Social Media
TXN_10105,2024-10-08,2024,10,Q4,Electronics,Accessories,North America,Mexico,VIP Customer,2,127.73,21.05,106.68,213.36,11.45,Bank Transfer,Delivered,4.0,Email Campaign
TXN_10106,2022-02-22,2022,2,Q1,Home & Living,Furniture,Europe,UK,New Customer,1,1499.37,100.8,1398.57,1398.57,0.0,Bank Transfer,Delivered,4.0,Social Media
TXN_10107,2022-03-24,2022,3,Q1,Fashion,Women Clothing,Latin America,Chile,Returning Customer,1,332.72,30.48,302.24,302.24,8.63,COD,Delivered,4.0,Social Media
TXN_10108,2024-06-11,2024,6,Q2,Sports,Sportswear,Latin America,Brazil,Returning Customer,1,467.11,19.07,448.04,448.04,11.42,Credit Card,Delivered,4.0,Paid Ads
TXN_10109,2022-11-26,2022,11,Q4,Electronics,Tablets,Latin America,Chile,New Customer,1,1524.25,100.99,1423.26,1423.26,0.0,Digital Wallet,Delivered,4.0,Organic Search
TXN_10110,2022-03-17,2022,3,Q1,Electronics,Accessories,North America,Canada,New Customer,2,542.18,6.29,535.89,1071.78,0.0,Digital Wallet,Delivered,5.0,Email Campaign
TXN_10111,2024-11-19,2024,11,Q4,Fashion,Men Clothing,Latin America,Argentina,New Customer,1,69.03,3.58,65.45,65.45,17.45,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10112,2024-06-24,2024,6,Q2,Electronics,Smartphones,Europe,France,New Customer,1,1345.17,124.79,1220.38,1220.38,0.0,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10113,2024-09-19,2024,9,Q3,Sports,Fitness Equipment,North America,Mexico,Returning Customer,1,496.88,11.89,484.99,484.99,8.17,COD,Delivered,3.0,Organic Search
TXN_10114,2022-01-29,2022,1,Q1,Electronics,Audio,Latin America,Brazil,New Customer,1,488.17,41.07,447.1,447.1,7.27,Credit Card,Delivered,5.0,Organic Search
TXN_10115,2022-11-12,2022,11,Q4,Fashion,Accessories,Asia Pacific,Australia,Returning Customer,5,329.15,32.34,296.81,1484.05,0.0,Digital Wallet,Delivered,4.0,Direct
TXN_10116,2023-05-15,2023,5,Q2,Sports,Outdoor Gear,Europe,Netherlands,VIP Customer,1,172.72,32.8,139.92,139.92,19.93,PayPal,Delivered,5.0,Direct
TXN_10117,2022-05-23,2022,5,Q2,Fashion,Footwear,Latin America,Argentina,Returning Customer,1,468.44,23.78,444.66,444.66,21.41,Bank Transfer,Delivered,3.0,Paid Ads
TXN_10118,2023-09-04,2023,9,Q3,Fashion,Accessories,Europe,Netherlands,Returning Customer,1,278.52,9.61,268.91,268.91,16.04,COD,Delivered,5.0,Organic Search
TXN_10119,2024-02-12,2024,2,Q1,Fashion,Accessories,Asia Pacific,Japan,New Customer,1,490.77,11.72,479.05,479.05,12.66,Digital Wallet,Delivered,2.0,Paid Ads
TXN_10120,2022-03-31,2022,3,Q1,Electronics,Tablets,Latin America,Chile,New Customer,5,1831.19,161.37,1669.82,8349.1,0.0,PayPal,Delivered,5.0,Organic Search
TXN_10121,2024-10-11,2024,10,Q4,Home & Living,Furniture,Europe,France,VIP Customer,1,1308.46,302.42,1006.04,1006.04,0.0,Digital Wallet,Delivered,4.0,Paid Ads
TXN_10122,2022-07-24,2022,7,Q3,Sports,Sportswear,Latin America,Brazil,VIP Customer,3,701.87,113.35,588.52,1765.56,0.0,PayPal,Delivered,5.0,Direct
TXN_10123,2022-06-03,2022,6,Q2,Electronics,Accessories,Asia Pacific,Australia,New Customer,1,1518.43,60.36,1458.07,1458.07,0.0,Credit Card,Delivered,5.0,Organic Search
TXN_10124,2023-11-04,2023,11,Q4,Home & Living,Bedding,Asia Pacific,Singapore,New Customer,1,1968.6,7.07,1961.53,1961.53,0.0,Credit Card,Delivered,5.0,Social Media
TXN_10125,2023-04-26,2023,4,Q2,Fashion,Footwear,Europe,UK,New Customer,2,228.31,2.25,226.06,452.12,17.67,Credit Card,Delivered,5.0,Paid Ads
TXN_10126,2024-06-27,2024,6,Q2,Fashion,Women Clothing,Asia Pacific,India,Returning Customer,1,50.49,4.02,46.47,46.47,10.87,Bank Transfer,Delivered,5.0,Organic Search
TXN_10127,2024-06-01,2024,6,Q2,Sports,Fitness Equipment,Europe,Netherlands,New Customer,1,556.31,44.09,512.22,512.22,0.0,PayPal,Shipped,,Social Media
TXN_10128,2022-12-25,2022,12,Q4,Electronics,Smartphones,Latin America,Chile,Corporate,1,2073.17,465.74,1607.43,1607.43,0.0,COD,Delivered,3.0,Email Campaign
TXN_10129,2022-10-21,2022,10,Q4,Home & Living,Decor,Latin America,Chile,Returning Customer,2,403.35,10.3,393.05,786.1,0.0,Credit Card,Delivered,3.0,Paid Ads
TXN_10130,2024-08-10,2024,8,Q3,Electronics,Tablets,Europe,UK,Returning Customer,1,911.37,31.49,879.88,879.88,0.0,COD,Delivered,5.0,Email Campaign
TXN_10131,2023-09-05,2023,9,Q3,Electronics,Accessories,Asia Pacific,Singapore,VIP Customer,1,1698.34,220.58,1477.76,1477.76,0.0,Digital Wallet,Delivered,3.0,Paid Ads
TXN_10132,2024-09-16,2024,9,Q3,Home & Living,Furniture,Europe,Netherlands,New Customer,1,870.73,50.05,820.68,820.68,0.0,Bank Transfer,Delivered,5.0,Social Media
TXN_10133,2022-02-14,2022,2,Q1,Home & Living,Bedding,Asia Pacific,India,Returning Customer,1,861.92,59.11,802.81,802.81,0.0,Credit Card,Delivered,3.0,Direct
TXN_10134,2024-10-14,2024,10,Q4,Fashion,Footwear,Europe,France,Returning Customer,1,125.12,2.38,122.74,122.74,10.01,PayPal,Processing,,Organic Search
TXN_10135,2022-07-18,2022,7,Q3,Fashion,Men Clothing,Asia Pacific,Singapore,Returning Customer,1,43.22,1.58,41.64,41.64,7.63,Bank Transfer,Delivered,5.0,Direct
TXN_10136,2023-11-01,2023,11,Q4,Fashion,Accessories,Europe,Germany,Returning Customer,2,125.16,6.75,118.41,236.82,24.43,COD,Delivered,3.0,Social Media
TXN_10137,2024-10-24,2024,10,Q4,Home & Living,Kitchen,Europe,France,Returning Customer,1,1373.65,129.7,1243.95,1243.95,0.0,Bank Transfer,Shipped,,Direct
TXN_10138,2023-11-25,2023,11,Q4,Fashion,Men Clothing,Latin America,Brazil,New Customer,5,131.35,19.26,112.09,560.45,0.0,Digital Wallet,Delivered,3.0,Direct
TXN_10139,2024-01-20,2024,1,Q1,Sports,Fitness Equipment,Latin America,Brazil,Returning Customer,1,229.96,2.84,227.12,227.12,12.37,Bank Transfer,Delivered,2.0,Paid Ads
TXN_10140,2024-02-20,2024,2,Q1,Home & Living,Kitchen,North America,Mexico,New Customer,1,373.72,0.94,372.78,372.78,22.68,COD,Delivered,5.0,Direct
TXN_10141,2023-11-03,2023,11,Q4,Electronics,Audio,Europe,UK,New Customer,1,1933.56,89.77,1843.79,1843.79,0.0,Bank Transfer,Delivered,4.0,Paid Ads
TXN_10142,2024-04-16,2024,4,Q2,Electronics,Smartphones,Europe,UK,New Customer,1,1895.21,57.68,1837.53,1837.53,0.0,Digital Wallet,Delivered,5.0,Paid Ads
TXN_10143,2022-08-26,2022,8,Q3,Fashion,Men Clothing,Europe,Germany,Returning Customer,1,206.55,7.66,198.89,198.89,23.99,COD,Delivered,3.0,Direct
TXN_10144,2024-05-08,2024,5,Q2,Electronics,Audio,Europe,Netherlands,Returning Customer,1,1327.1,110.64,1216.46,1216.46,0.0,COD,Returned,,Paid Ads
TXN_10145,2024-04-15,2024,4,Q2,Fashion,Footwear,North America,Mexico,New Customer,1,197.85,8.77,189.08,189.08,24.01,Bank Transfer,Delivered,5.0,Organic Search
TXN_10146,2022-07-23,2022,7,Q3,Electronics,Tablets,Asia Pacific,India,New Customer,1,991.65,18.82,972.83,972.83,0.0,Credit Card,Delivered,2.0,Email Campaign
TXN_10147,2024-07-20,2024,7,Q3,Fashion,Men Clothing,Europe,UK,Returning Customer,1,53.13,1.77,51.36,51.36,24.78,COD,Delivered,5.0,Organic Search
TXN_10148,2023-02-25,2023,2,Q1,Electronics,Smartphones,Europe,Germany,VIP Customer,2,1635.45,220.7,1414.75,2829.5,0.0,PayPal,Delivered,4.0,Social Media
